City,Administrative Division,Country,Full,Map
Abai,Kazakhstan,,"Abai, Kazakhstan",https://en.wikipedia.org/wiki/File:Abai_in_Kazakhstan.svg
Abidjan,,,Abidjan,
Accra,,,Accra,
Acre,Brazil,,"Acre, Brazil",https://en.wikipedia.org/wiki/File:Acre_in_Brazil.svg
Adado,Galmudug,Somalia,"Adado, Galmudug, Somalia",https://en.wikipedia.org/wiki/File:Galmudugmap.png
Ad-Damir,River Nile,Sudan,"Ad-Damir, River Nile, Sudan",https://en.wikipedia.org/wiki/File:River_Nile_in_Sudan_(Kafia_Kingi_disputed).svg
Addis Ababa,Oromia,Ethiopia,"Addis Ababa, Oromia, Ethiopia",https://en.wikipedia.org/wiki/File:Oromia_in_Ethiopia.svg
Adelaide,South Australia,Australia,"Adelaide, South Australia, Australia",https://en.wikipedia.org/wiki/File:South_Australia_in_Australia.svg
Aden,,,Aden,
Adrar,Adrar Province,Algeria,"Adrar, Adrar Province, Algeria",https://en.wikipedia.org/wiki/File:Adrar_in_Algeria_2019.svg
Adrar,Mauritania,,"Adrar, Mauritania",https://en.wikipedia.org/wiki/File:Adrar_in_Mauritania.svg
Adrar Province,Algeria,,"Adrar Province, Algeria",https://en.wikipedia.org/wiki/File:Adrar_in_Algeria_2019.svg
Agadez,Agadez Region,Niger,"Agadez, Agadez Region, Niger",https://en.wikipedia.org/wiki/File:Agadez_in_Niger.svg
Agadez Region,Niger,,"Agadez Region, Niger",https://en.wikipedia.org/wiki/File:Agadez_in_Niger.svg
Ahal,Turkmenistan,,"Ahal, Turkmenistan",https://en.wikipedia.org/wiki/File:Ahal_Province_in_Turkmenistan.svg
Ahmedabad,Gujarat,India,"Ahmedabad, Gujarat, India",https://en.wikipedia.org/wiki/File:Gujarat_in_India.svg
Ajdabiya,Al Wahat,Libya,"Ajdabiya, Al Wahat, Libya",https://en.wikipedia.org/wiki/File:Al_Wahat_in_Libya.svg
Akmola,Kazakhstan,,"Akmola, Kazakhstan",https://en.wikipedia.org/wiki/File:Akmola_in_Kazakhstan.svg
Aktau,Mangystau,Kazakhstan,"Aktau, Mangystau, Kazakhstan",https://en.wikipedia.org/wiki/File:Mangystau_Region_in_Kazakhstan.png
Aktobe,Aktobe Region,Kazakhstan,"Aktobe, Aktobe Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Aktobe_in_Kazakhstan.svg
Aktobe Region,Kazakhstan,,"Aktobe Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Aktobe_in_Kazakhstan.svg
Al Anbar,Iraq,,"Al Anbar, Iraq",https://en.wikipedia.org/wiki/File:Al-Anbar_in_Iraq.svg
Al Ghaydah,Al Mahrah,Yemen,"Al Ghaydah, Al Mahrah, Yemen",https://en.wikipedia.org/wiki/File:Al_Mahrah_in_Yemen.svg
Al Jawf,Kufra,Libya,"Al Jawf, Kufra, Libya",https://en.wikipedia.org/wiki/File:Kufra_in_Libya.svg
Al Mahrah,Yemen,,"Al Mahrah, Yemen",https://en.wikipedia.org/wiki/File:Al_Mahrah_in_Yemen.svg
Al Wahat,Libya,,"Al Wahat, Libya",https://en.wikipedia.org/wiki/File:Al_Wahat_in_Libya.svg
Alabama,United States,,"Alabama, United States",https://en.wikipedia.org/wiki/File:Alabama_in_United_States.svg
Alaska,United States,,"Alaska, United States",https://en.wikipedia.org/wiki/File:Alaska_in_United_States_(US50).svg
Albany,New York,United States,"Albany, New York, United States",https://en.wikipedia.org/wiki/File:New_York_in_United_States.svg
Alberta,Canada,,"Alberta, Canada",https://en.wikipedia.org/wiki/File:Alberta_in_Canada.svg
Albuquerque,New Mexico,United States,"Albuquerque, New Mexico, United States",https://en.wikipedia.org/wiki/File:New_Mexico_in_United_States.svg
Al-Fashir,North Darfur,Sudan,"Al-Fashir, North Darfur, Sudan",https://en.wikipedia.org/wiki/File:North_Darfur_in_Sudan_(Kafia_Kingi_disputed).svg
Algeria,,,Algeria,
Al-Jawf,Saudi Arabia,,"Al-Jawf, Saudi Arabia",https://en.wikipedia.org/wiki/File:Al_Jawf_in_Saudi_Arabia.svg
Almaty,Kazakhstan,,"Almaty, Kazakhstan",https://en.wikipedia.org/wiki/File:Almaty_Region_in_Kazakhstan.png
Altai City,Govi-Altai,Mongolia,"Altai City, Govi-Altai, Mongolia",https://en.wikipedia.org/wiki/File:Govi-Altai_in_Mongolia.svg
Altai Krai,Russia,,"Altai Krai, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Altai_Krai_(Crimea_disputed).svg
Altai Republic,Russia,,"Altai Republic, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Altai_Republic_(Crimea_disputed).svg
Alto Paraguay,Paraguay,,"Alto Paraguay, Paraguay",https://en.wikipedia.org/wiki/File:Alto_Paraguay_in_Paraguay.svg
Amapa,Brazil,,"Amapa, Brazil",https://en.wikipedia.org/wiki/File:Amapa_in_Brazil.svg
Amaravati,Andhra Pradesh,India,"Amaravati, Andhra Pradesh, India",https://en.wikipedia.org/wiki/File:Andhra_Pradesh_map_(updated).jpg
Amazonas,Brazil,,"Amazonas, Brazil",https://en.wikipedia.org/wiki/File:Amazonas_in_Brazil.svg
Amazonas,Colombia,,"Amazonas, Colombia",https://en.wikipedia.org/wiki/File:Amazonas_in_Colombia.svg
Amazonas,Venezuela,,"Amazonas, Venezuela",https://en.wikipedia.org/wiki/File:Amazonas_in_Venezuela.svg
Amdjarass,Ennedi-Est,Chad,"Amdjarass, Ennedi-Est, Chad",https://en.wikipedia.org/wiki/File:Ennedi_Est_map.svg
Amhara,Ethiopia,,"Amhara, Ethiopia",https://en.wikipedia.org/wiki/File:Amhara_in_Ethiopia.svg
Amman,,,Amman,
Amsterdam,,,Amsterdam,
Amur,Russia,,"Amur, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Amur_Oblast_(Crimea_disputed).svg
Anadyr,Chukotka,Russia,"Anadyr, Chukotka, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Chukotka_Autonomous_Okrug.svg
Anchorage,Alaska,United States,"Anchorage, Alaska, United States",https://en.wikipedia.org/wiki/File:Alaska_in_United_States_(US50).svg
Anchorage,,,Anchorage,
Andalusia,Spain,,"Andalusia, Spain",https://en.wikipedia.org/wiki/File:Andalucia_in_Spain.svg
